codigo,combo,unidad_negocio,hl_por_combo,nota
900098,COMBO GIN CORTÁ LA SED,UNG,0.11,Validado ERP 2026-08-31: 2 articulos
900226,COMBO ECO 500 + ECO 1.5L,UNG,0.15,Validado ERP 2026-08-31: 2 articulos
900299,*COMBO LATONES - BAJO DROP FEB*,CZA,0.142,5 fourpacks 1x4 710cc
900311,*COMBO LATONES - FEB OP3*,CZA,0.568,Validado ERP 2026-08-31: 5 articulos
900329,COMBO CERVEZA: SIXPACK LATA QC + SIXPACK LATA BR,CZA,0.05676,Validado ERP 2026-08-31: 2 articulos
900355,COMBO GIN CORTÁ LA SED - AREA SUR,UNG,0.11,Validado ERP 2026-08-31: 2 articulos
900376,*COMBO GATORADE K+T - JULIO*,UNG,0.09,3 packs 1x6 500cc
900377,*COMBO GATORADE AS - Julio*,UNG,0.12,Validado ERP 2026-08-31: 4 articulos
900381,COMBO LANZAMIENTO STELLA PURE GOLD + STELLA 710,CZA,0.1334,Alias historico del combo Stella Pure Gold + Stella 710
900385,Combo Gatorade ZERO,UNG,0.048,Validado ERP 2026-08-31: 2 articulos
900391,*COMBO MIRINDA - SUR*,UNG,0.54,Validado ERP 2026-08-31: 3 articulos
900392,*COMBO GTD 750cc*,UNG,0.135,Validado ERP 2026-08-31: 3 articulos
900393,COMBO LANZAMIENTO STELLA PURE GOLD + STELLA 710,CZA,0.1334,1 sixpack 330cc + 1 bulto 4x4 710cc
900397,COMBO LATAS - PAT SUR,UNG,0.07986,Validado ERP 2026-08-31: 4 articulos
900398,COMBO PET 500 - PAT 4,UNG,0.12,Estimado ERP sin cantidades: 4 articulos x 1 bulto X6 500cc
900399,COMBO 0.0 KT (JUNIO),CZA,0.06996,Validado ERP 2026-08-31: 3 articulos
900404,COMBO SABORIZADAS,UNG,0.06,2 packs 1x6 500cc
900405,COMBO BLACK,UNG,0.03009,Validado ERP 2026-08-31: 2 articulos
900406,COMBO BLACK,UNG,0.05124,Validado ERP 2026-08-31: 2 articulos
900407,COMBO MICHELOB - PATAGONIA - KT,CZA,0.04488,Validado ERP 2026-08-31: 2 articulos
900408,COMBO PEPSI - SUR,UNG,0.25,1 pack 1x6 1500cc + 1 pack 1x8 2000cc
900409,COMBO 7UP - PAT,UNG,0.25,Validado ERP 2026-08-31: 2 articulos
900410,COMBO 1500CC - PAT,UNG,0.27,3 packs 1x6 1500cc
900411,COMBO ENERGÍA - PAT,UNG,0.085,Validado ERP 2026-08-31: 2 articulos
900421,"Combo Bidon Nestle 16% + Eco 1,5 + Eco 2 Lt 20% OFF",UNG,1.608,Validado ERP 2026-08-31: 3 articulos
900423,COMBO RED BULL CON UN 20% OFF,UNG,0.0642,5 packs 1x4 250cc + 1 pack 1x4 355cc
900424,Combo Redbull a 10% OFF,UNG,0.03,Validado ERP 2026-08-31: 3 articulos
900425,Combo ECO 500 con & sin gas con un 26% OFF,UNG,0.12,Validado ERP 2026-08-31: 2 articulos
900427,"Combo ECO 1,5L + BIDON Glaciar 6.4. 16% OFF",UNG,0.090128,Validado ERP 2026-08-31: 2 articulos
900428,COMBO LATONES - BRAHMA Y QUILMES - PATAGONIA,CZA,0.1136,Validado ERP 2026-08-31: 4 articulos
900429,COMBO STELLA PORRON 330 LAGER + PURE GOLD,CZA,0.0396,Validado ERP 2026-08-31: 2 articulos
900430,PROMO STELLA LATA 10% LAGER + PURE GOLD PATAGONIA,CZA,0.05676,Validado ERP 2026-08-31: 2 articulos
900433,COMBO 3L + GTD 500 - PATAGONIA,UNG,7.05,15 packs 500cc + 35 packs 3000cc
900435,COMBO AS GASEOSAS FAM - PATAGONIA SUR,UNG,3.08,Validado ERP 2026-08-31: 6 articulos
900436,COMBO K+T GASEOSAS FAM - PATAGONIA SUR,UNG,1.54,Validado ERP 2026-08-31: 6 articulos
